VideoNumber,Name,Director,Rating,Episode Number,Image Path,VideoPath
01,Puss Gets the Boot,Fred Quimby,5,1,,
01,The Midnight Snack,Fred Quimby,5,2,,
01,The Night Before Christmas,Fred Quimby,5,3,,
01,Fraidy Cat,Fred Quimby,5,4,,
01,Dog Trouble,Fred Quimby,4,5,,
